No.Act,Descripción,No. serie,Marca,Modelo,Comentarios
UTQ16544,DIGITAL POWER  POWER&ENERGY METER,SIN NUMERO,SIN MARCA,POWER&ENERGY METER,EDIFICIO: NANOTECNOLOGÍA PLANTA:BAJA CUBÍCULO:3 ESTADO DEL BIEN:BUENO
UTQ17023,MOLINO SPEX 8000M RANGO 60ML VELOCIDAD 1060 CICLOS,SIN NUMERO,SPEX,8000M RANGO 60ML VELOCIDAD 1060 CIC,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO BIOLOGIA ESTADO DEL BIEN:BUENO
UTQ17026,MESA  3.4MM SKIN 600X1200X58MM M6,SIN NUMERO,NEWPORT,SIN MODELO,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO OPTICA ESTADO DEL BIEN:BUENO
UTQ17388,MESA DE TRASLACION DE DOBLE FILA APERTURA  0.198in,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: "O" NANO PLANTA:BAJA LABORATORIO 5 EDO.DEL BIEN:BUENO
UTQ17389,MESA DE TRASLACION DE DOBLE FILA APERTURA 0.98 in,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: "O" NANO PLANTA:BAJA LABORATORIO 5 EDO.DEL BIEN:BUENO
UTQ17390,LENTES biconvexas de silice 50.8 DE DIAMETRO 50.2M,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: "O" NANO PLANTA:BAJA LABORATORIO 5 EDO.DEL BIEN:BUENO 
UTQ17391,LENTES BICONVEXAS DE SILICE 50.8 DE DIAMETRO 50.2M,SIN NUMERO,SIN MARCA,SIN MODELO,EDIFICIO: "O" NANO PLANTA:BAJA, LABORATORIO 5 EDO.DEL BIEN:BUENO
UTQ17392,MEDIDOR DE POTENCIA,18112,NEWPORT,ENERGIA DE ALTO RENDIMIENTO RoHS,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO OPTICA ESTADO DEL BIEN:BUENO
UTQ17393,ESPEJO PARABOLICO,SIN NUMERO,SIN MARCA,REPLICADO 1.5 in 6.0 en EFL,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ17394,ESPEJO PARABOLICO,SIN NUMERO,SIN MARCA,REPLICADO 1.5 in 6.0 en EFL,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO DE ÓPTICA ESTADO DEL BIEN:BUENO
UTQ17395,SENSOR,SIN NUMERO,SIN MARCA,TERMOPILA 3W 10Mmm DIAMETRO 0-19-10,EDIFICIO: PIDET PLANTA:BAJA LABORATORIO OPTICA ESTADO DEL BIEN:BUENO
